t,L,v,Omega,E_v,E_Omega,P_drive,P_feedback,P_D,P_Omega,cumulative_drive,cumulative_feedback,cumulative_dissipation
1.3135946622185153,0.018430569100870663,0.03398999378298524,0.000323011152708211,0.0005776598386836877,5.2168102386943596e-08,0.0012529098583109475,6.53619297699765e-11,0.0006354258225520565,8.346896381910975e-08,0.0009051794291665534,1.7472989804941996e-11,0.0003275916387449662
1.3344453711426187,0.01844346601721475,0.034366884795313746,0.00033069823042495205,0.0005905413852671836,5.468065980309734e-08,0.0012676889436798067,6.931806786550334e-11,0.000649595523793902,8.748905568495574e-08,0.00093145756513393,1.8877076519240162e-11,0.00034099022406987724
1.3552960800667222,0.018456513437503094,0.03474001627760295,0.00033841037313581297,0.0006034343654840591,5.726079032296008e-08,0.0012823591544933101,7.342889866416982e-11,0.000663777802032465,9.161726451673614e-08,0.0009580427204526656,2.036526424369464e-11,0.00035468447377949537
1.3761467889908257,0.01846971025204685,0.03510943727119168,0.00034614605575450515,0.0006163362927498718,5.99085459572005e-08,0.0012969222670226495,7.769672723684306e-11,0.000677969922024859,9.585367353152081e-08,0.0009849326435293541,2.1940802462012123e-11,0.0003686746238524246
1.3969974979149289,0.018483055368905817,0.035475196222265186,0.00035390379531820515,0.000629244773504109,6.262394817031502e-08,0.0013113800319978519,8.212379515541953e-11,0.00069216925085452,1.0019831707250404e-07,0.0010121251195408271,2.360698805826172e-11,0.0003829608543035294
1.4178482068390323,0.01849654771320131,0.035837341003738366,0.00036168214820819203,0.0006421575051091136,6.540698816624629e-08,0.0013257341755798248,8.671227953373787e-11,0.000706373255620025,1.0465118106599407e-07,0.0010396179699117371,2.5367163982877626e-11,0.0003975432912924023
1.4386989157631358,0.018510186227081244,0.036195918915255726,0.0003694797101498468,0.0006550722730598837,6.82576281062074e-08,0.001339986399563432,9.146429332877657e-11,0.0007205795003658721,1.0921220496993184e-07,0.00106740905180439,2.7224717911802927e-11,0.00041242200917576276
1.4595496246872393,0.01852396986968805,0.03655097668319141,0.0003772951162126527,0.0006679869482476012,7.117580235895956e-08,0.0013541383815742162,9.638188581360778e-11,0.0007347856430723614,1.138812837743353e-07,0.0010954962576127476,2.9183080913704355e-11,0.0004275970324965194
1.4804003336113427,0.018537897617129175,0.036902560460649186,0.0003851270408101953,0.0006808994842759344,7.416141878160892e-08,0.0013681917752588677,1.0146704321852585e-10,0.0007489894327035279,1.1865827005057428e-07,0.0011238775144604655,3.1245726128801667e-11,0.0004430683379107158
1.5012510425354462,0.018551968462450334,0.03725071582746246,0.00039297419770016216,0.0006938079148291812,7.721436002904307e-08,0.0013821482104695662,1.0672168953669468e-10,0.0007631887063120995,1.2354297604646892e-07,0.0011525507837028388,3.34161674627802e-11,0.00045883585605356115
1.5221017514595494,0.018566181415288673,0.03759548780097729,0.00040083533880142484,0.000706710351496716,8.033448441602652e-08,0.001396009293818433,1.1214768685888512e-10,0.0007773813866463877,1.2853517506564244e-07,0.0011815140604364497,3.569795829259231e-11,0.0004748994733503667
1.5429524603836529,0.018580535501553693,0.0379369208459412,0.00040870925376240453,0.000719604981635604,8.352162705551079e-08,0.0014097766091952855,1.1774683618479123e-10,0.0007915654797991644,1.3363460328881728e-07,0.0012107653730199957,3.809469018420696e-11,0.0004912590337780555
1.5638031693077563,0.018595029765090604,0.03827505881829848,0.00041659477601044124,0.0007324900637721041,8.677560369959486e-08,0.0014234517159737077,1.235208819908427e-10,0.0008057390701493145,1.3884096591935177e-07,0.0012403027825818075,4.060999166643834e-11,0.0005079143405495077
1.5846538782318598,0.01860966326501042,0.03860994505379335,0.00042449077190370255,0.0007453639285284709,9.00962077157006e-08,0.0014370361522632977,1.2947150766928524e-10,0.0008199003213813181,1.4415393234512098e-07,0.001270124382542577,4.324752700484669e-11,0.000524865157755814
1.6055045871559632,0.018624435075407533,0.03894162237670555,0.00043239613971253927,0.0007582249766649673,9.348321081915288e-08,0.0014505314353719795,1.3560033597268718e-10,0.0008340474743314641,1.4957313731064463e-07,0.0013002282981768062,4.601099493272381e-11,0.0005421112119966651
1.6263552960800667,0.01863934428534088,0.03927013309985032,0.00044030980961948533,0.0007710716768399799,9.693636422357371e-08,0.0014639390619585419,1.4190893011113003e-10,0.000848178844523978,1.5509818275771796e-07,0.001330612686180669,4.890412739815143e-11,0.0005596521939626317
1.64720600500417,0.01865438999881729,0.03959551902457842,0.00044823074371925793,0.0007839025634128758,1.0045539980755954e-07,0.0014772605081801507,1.4839879496915563e-10,0.0008622928197541634,1.607286396920953e-07,0.0013612757342429988,5.193068833518524e-11,0.0005774877599665993
1.6680567139282734,0.01866957133477703,0.039917821440776116,0.0004561579360187575,0.0007967162342888427,1.0404003129644643e-07,0.0014904972298349234,1.5507137843929212e-10,0.0008763878577177271,1.664640500743143e-07,0.0013922156606193028,5.509447246162861e-11,0.0005956175334253322
1.6889074228523768,0.018684887427081544,0.040237081126865186,0.0004640904124370675,0.0008095113488049652,1.076899554580037e-07,0.0015036506624996468,1.6192807286898472e-10,0.0008904624836854619,1.7230392873280593e-07,0.0014234307137086957,5.839930410579331e-11,0.000614041106292117
1.7097581317764803,0.018700337424264173,0.04055333835772805,0.00047202723001070886,0.0008222866259781885,1.1140485293579132e-07,0.0015167222219397392,1.689702160796433e-10,0.0009045152885760074,1.7824776469726613e-07,0.001454919171636546,6.184903605896917e-11,0.0006327580404451081
1.7306088407005837,0.018715920488989263,0.04086663292225173,0.0004799674758062616,0.0008350408432010346,1.1518438891591716e-07,0.0015297133048511487,1.7619909223582768e-10,0.0009185449275211381,1.8429502226546746e-07,0.0014866793418491283,6.544754844757918e-11,0.0006517678690406472
1.7514595496246872,0.018731635800041016,0.04117700405722448,0.00048791027365011085,0.0008477728315643406,1.1902821756666304e-07,0.0015426252866734805,1.8361593824600698e-10,0.0009325501147207747,1.9044514810666087e-07,0.0015187095606932132,6.919874768112626e-11,0.0006710700977980731
1.7723102585487904,0.01874748254975361,0.04148449053240389,0.0004958547743240592,0.000860481477366554,1.2293597860998184e-07,0.0015554595246833217,1.9122193885516135e-10,0.0009465296251032095,1.9669756577597095e-07,0.0015510081930051062,7.310656541570888e-11,0.0006906642062482175
1.7931609674728939,0.018763459943627353,0.04178913066295689,0.0005038001542230607,0.0008731657207828419,1.269072976975899e-07,0.0015682173585468025,1.9901822717562714e-10,0.0009604822928611262,2.0305167631614385e-07,0.0015835736317376973,7.717495747190976e-11,0.0007105496489838975
1.8140116763969973,0.01877956720032152,0.04209096230945968,0.0005117456153552211,0.0008858245540681777,1.3094178741764694e-07,0.001580900110433397,2.0700588618890443e-10,0.0009744070094749956,2.095068598682351e-07,0.001616404297594455,8.140790277387528e-11,0.0007307258568745597
